ID;PNAME;url;lead;description;pkey;pcounter;assignetype;avatar;originalkey;projecttype
10002;BANI Entwicklung (Projekt beendet);;b000986;h1. Ablösung von BASIS und NIPO  In der ersten Version werden nur BASIS und NIPO abgelöst In einer weiteren Version soll auch SPICE abgelöst werden, weil der Portalserver scheisse ist ;BANI;2423;3;10011;BANI;software
10102;Atlassian Produkte (Confluence, JIRA, etc.);;b000675;;ATLAS;152;3;10602;ATLAS;software
10200;BANI Fachlich (Projekt beendet);;b000986;;BANIF;1095;3;10324;BANIF;software
10300;BANI-QS (Projekt beendet);;b002006;;BANIQS;921;3;10324;BANIQS;software
10303;ElektrA (Projekt beendet);;b000255;;ELA;307;3;11402;ELA;software
10304;Auftragsverwaltung (Staging) (Projekt beendet);;b000255;;AS;36;3;10205;AS;business
10401;AE-Prozesse (Auftragsverwaltung) (Projekt beendet);;b000137;;AEPRO;653;3;10330;AEPRO;business
10402;AE-SHUK (Auftragsverwaltung) (Projekt beendet);;b000696;;AESHUK;708;3;10330;AESHUK;business
10403;AE-VKON (Auftragsverwaltung) (Projekt beendet);;b001184;;AEVKON;844;3;10330;AEVKON;business
10404;AE-BT Konzern (Auftragsverwaltung) (Projekt beendet);;b000786;Dieses Projekt ist am 31.12.2017 abgeschlossen worden;AEBT;4808;3;13627;AEBT;business
10405;AE-Leben-Kranken (Auftragsverwaltung) (Projekt beendet);;b000674;;AELK;1534;3;10330;AELK;business
10500;Auftragsbuch (Projekt beendet);;b001946;;AB;262;3;10324;AB;software
10600;0089 AKAB-ElektrA SHUKRS privat (Projekt beendet);;b000664;;EN;337;2;14246;EL;software
10802;Endkunden Antragsstrecken Direktvertrieb/Online (Projekt beendet);;b001853;;EKR;194;3;10324;EKR;software
11000;AE-Services (Auftragsverwaltung) (Projekt beendet);;b000255;;AESERV;256;3;10330;AESERV;business
11302;Schaden-/Leistungsregulierung;;b001411;am 26.11.2019 von Classic auf Scrum umgestellt;BOSS;12221;3;12326;BOSS;software
11400;0089 AKAB-Prozesse (Projekt beendet);;b001242;;AG;1560;3;10324;AG;software
11403;M-O Web (Projekt beendet);;b002302;;KA;695;2;10324;KA;software
11413;0085 Outputmanagement (Projekt beendet);;b000690;Das Projekt Outputmanagement hat folgende Kernziele: 1. Umsetzung eines Notfallkonzepts, um bei einem möglichen Ausfall von ITV weiterhin arbeitsfähig zu sein. 2. Ablösung ITV durch STV, hierbei Überführung und Konsolidierung der Dokumente (aktuell: ca. 4.500 Briefe in ITV). 3. Konsolidierung der Prozess- und Systemlandschaft im Umfeld des Outputmanagement. Neben der Neugestaltung eigener Prozesse und Systeme besteht ein weiterer wesentlicher Aspekt in der übergreifenden Abstimmung mit weiteren Projekten, zu welchen technische und organisatorische Schnittstellen und Abhängigkeiten bestehen.;OUTPUT;4595;3;10330;OUTPUT;software
11503;Continuous Delivery;;b000990;Definition of Done: Aufgabe umgesetzt Tests geschrieben und erfolgreich Pull-Request erstellt und abgenommen Merge in Develop  Storypoints sind wie folgt definiert: 1: wenig Aufwand -> weniger als 1 Tag 3: mittlerer Aufwand -> 1-2 Tage 8: viel Aufwand -> mehr als 3 Tage  --> Bei 3 Vollzeitkräften max. 24 Storypoints pro Sprint;CD;2044;3;16722;CD;software
11602;KeyCloak;http://architektur/wiki/display/KEYCLOAK;b001591;KeyCloak ist eine OpenSource Idendity und Access Management Software auf Basis des JBoss WildFly. RedHat bietet unter dem Produktnamen RH-SSO Support an (Basis JBoss EAP).;KEYCLOAK;27;3;12701;KEYCLOAK;software
11604;0089 AKAB-SaPo (Projekt beendet);;b000937;;SAPO;982;3;10324;SAPO;software
11700;0151 LV und Steuern - Umsetzung (Projekt beendet);;b000078;;ILUS;273;3;10324;ILUS;software
11800;Antragsstrecken SHUKRS (Projekt beendet);;b002126;;ITANTRSHUK;1390;3;14236;ITANTRSHUK;software
11900;Classic Template;;b000675;;CLASSIC;858;3;10333;CLASSIC;software
11902;Scrum Template;;b000675;;SCRUM;18;3;13016;SCRUM;software
11904;Demo Classic JIRA 2018 (Projekt beendet);;b000729;;DEMOCLASIC;175;3;10333;DEMOCLASIC;software
11905;Demo Scrum JIRA 2018 (Projekt beendet);;b001441;;DEMOSCRUM;20;3;13019;DEMOSCRUM;software
12200;SHUK Produktmanagement;;b001104;Hier werden allgemeine Aufgaben außerhalb von Projekten und PMP's verwaltet.;SHUKPM;281;3;10324;SHUKPM;software
12203;0094 Automatische Betrugserkennung (DUBI) (Projekt beendet);;b001411;;DUBI;79;3;10324;DUBI;software
12204;0099 Leben-Leistung Todesfall in BOSS (Projekt beendet);;b001411;;BOSSTOD;111;3;10324;BOSSTOD;software
12207;0086 Archiv 2.0 (Projekt beendet);;b000895;;ARCHIV20;518;3;10324;ARCHIV20;software
12208;0090 Eingangskanalverarbeitung 2.0;;b000769;;INPUT;2681;3;10324;INPUT;software
12209;0095 Neues Betriebsmodell Operations (Projekt beendet);;b001090;;NBOPS;11;3;10324;NBOPS;software
12210;0096 Modernisierung ZAD (Projekt beendet);;b000182;;ZAD;189;2;10324;ZAD;software
12211;0022 Neugeschäftsinfrastruktur SHUKRS privat (Projekt beendet);;b000942;;NSHUKRSP;409;3;10325;NSHUKRSP;software
12212;0061 Erhöhung der Dunkelverarbeitungsquote SHUK-Privatgeschäft (Projekt beendet);;b000861;;EEQD;103;3;14245;EEQD;software
12213;0007 Sicherstellen der Abschlussprozesse VT Leben;;b000124;"am 27.05.2019 umbenannt von ""0007 Optimierung Abschlussprozesse""";OPTABSCH;119;3;10324;OPTABSCH;software
12214;0234 Integration ProRis-RV-Leben;;b000515;;NRLEBEN;573;3;10324;NRLEBEN;software
12215;0098 Bestandsverwaltung 2.0 (Projekt beendet);;b000078;;BESTAND20;344;3;10324;BESTAND20;software
12216;0105 Analyse und Weiterentwicklung technische Plattform AS400 (Projekt beendet);;b000831;;BAVAS400;131;3;10324;BAVAS400;software
12217;0152 Neues mathematisches Verfahren (Projekt beendet);;b000078;;MATHE;18;3;10324;MATHE;software
12218;0233 Neue Zulagenverwaltung (Projekt beendet);;b001618;;ZULVER;256;2;10324;ZULVER;software
12219;0155 Werte/Bescheinigung (Projekt beendet);;b000188;;WERTBESCH;181;3;10324;WERTBESCH;software
12220;0001 Neue Produkte Leben 2017/2018 (Projekt beendet);;b000942;Dieses Projekt endet Ende Februar 2018;NPL18;299;3;13626;NPL18;software
12221;0066 Laufende AP Leben (Projekt beendet);;b000015;;LAPL;23;3;10324;LAPL;software
12222;0127 Implementierung Marke und CD NÜRNBERGER (Projekt beendet);;b000424;;BRAND;110;2;14232;BRAND;software
12223;0131 Harmonisierung CMS Online / Relaunch IntraNet (Projekt beendet);;b001183;;INTRANET;72;3;10324;INTRANET;software
12224;0140 Konzernübergreifende Maßnahme zu IDD (Projekt beendet);;b000942;;IDD;57;3;10324;IDD;software
12225;0145 Einführung eines Rückversicherungsabrechnungssystems Schaden-/Unfall - ProR;;b000861;;PRORIS;24;3;10324;PRORIS;software
12226;0195 GWG 4. Richtlinie (Projekt beendet);;b000942;;GWG;153;3;14229;GWG;software
12227;0215 Technische und organisatorische Neuausrichtung der Arbeitsabläufe des V(be);;b000861;Projekt beendet;VERWEGFA;6;3;10324;VERWEGFA;software
12228;0150 Vertragsänderungen 2.0 (Projekt beendet);;b000078;;VERTRAG20;0;3;10324;VERTRAG20;software
12229;0167 IDV nach ZDV (Projekt beendet);;b000308;;IDVZDV;79;3;10324;IDVZDV;software
12231;0168 Erweiterung des Geschäftsmodells Direktvertrieb um ... (Projekt beendet);;b000942;;DIREKTVERT;9;3;14233;DIREKTVERT;software
12232;0169 Erweiterung der Zahlungsmöglichkeiten auf PayPal und ... (Projekt beendet);;b000308;;PAYPALKRED;2;3;10324;PAYPALKRED;software
12233;0171 Relaunch und Weiterentwicklung KuPo meinenuernberger.de;;b001051;;MEINENUE;2729;3;10324;MEINENUE;software
12234;0176 BiPro-Schnittstelle zur Datenübernahme (Projekt beendet);;b000942;;BIPRO420;2;3;14234;BIPRO420;software
12236;0188 Leben Bestandsmigration: Vorbereitung und Analyse (Projekt beendet);;b000124;;LBMVA;6;3;10324;LBMVA;software
12237;0190 Neue Produkte Leben 2018 / 2019 (Projekt beendet);;b000942;;NPL19;1943;3;14227;NPL19;software
12238;0191 Zentrales Anmeldeportal und Anmeldeverfahren (Projekt beendet);;b001183;;LOGIN;20;3;10324;LOGIN;software
12239;0200 Easy Scan 2018 (Projekt beendet);;b000895;;EASYSCAN18;10;3;10324;EASYSCAN18;software
12240;0204 Neuordnung der Reisekosten für den angestellten Außendienst (beendet);;b001183;;REISEAUS;21;3;10324;REISEAUS;software
12243;0221 Neue Produkte Kranken 2018 (Projekt beendet);;b000327;;NPK18;414;3;14228;NPK18;software
12245;0223 GeoMedis (Projekt beendet);;b001810;;GEOMED;4;3;10324;GEOMED;software
12246;0227 Neue Produkte SHUK (Projekt beendet);;b000861;;NPS;578;3;14238;NPS;software
12247;0230 Vorstudie Angebots- und Antragssystem SHU-Gewerbe (Projekt beendet);;b000424;;SHUAA;7;3;14243;SHUAA;software
12248;0231 G - SHU Produkte 2018 (Projekt beendet);;b000861;;GSHUP18;521;3;13505;GSHUP18;software
12249;Linie AE-SERV (Projekt beendet);;b000664;;SERV;810;3;10010;SERV;software
12250;Linie AE-BT;;b000424;Dieses Projekt enthält alle Linienaufgaben der AE-BT  Hier werden die Wartungs- und Weiterentwicklungsaktivitäten beauftragt und gebucht.;BT;6563;3;14250;BT;software
12251;Linie AE-LK;;b000124;;LK;3178;3;10324;LK;software
12252;Linie AE-PRO;;b001090;;PRO;5086;3;10324;PRO;software
12253;Linie AE-SHUK;;b000861;;SHUK;3521;3;10324;SHUK;software
12254;Linie AE-FIN ;;b000013;;FIN;3186;3;10324;VKON;software
12256;0157 NOA Stufe 1 (Projekt beendet);;b000015;;NOA;367;3;10324;NOA;software
12257;0089 AKAB-Routing (Projekt beendet);;b001840;;ARO;359;3;10207;ARO;software
12258;0059 AgenturManager (AGM);;b000986;;NAM;4405;3;14244;NAM;software
12259;0129 Endkunden Antragsstrecken Direktvertrieb/Online (EADO);;b003069;Endkunden Antragsstrecken Direktvertrieb Online;EADO;5892;2;10011;EADO;software
12260;0224 Transformation FA.net für Windows Tablet (Projekt beendet);;b000942;;FANET;455;3;14230;FANET;software
12261;0177 KFZ-Webservice mit ElektrA (Projekt beendet);;b000424;;ELASHUK;71;3;14239;ELASHUK;software
12262;0210 Reportingmöglichkeit der Zugriffe auf die Berechnungswebs. NÜRNBE (beendet);;b000424;;RZBN;15;3;14231;RZBN;software
12264;0019 Prozessoptimierung SHU Gewerbe (Projekt beendet);;b000861;;POPTSHUG;2;3;10324;POPTSHUG;software
12267;0206 Bestandsübertragung Digitalisieren und optimieren (Projekt beendet);;b000015;;BESTDIGOPT;0;3;10324;BESTDIGOPT;software
12268;0179 Teilnahme NLV an RIVA (Projekt beendet);;b000524;;NLVRIVA;0;3;14240;NLVRIVA;software
12269;0208 ERB Elektronische Rechnungsbearbeitung (Projekt beendet);;b000950;;ERB;13;3;10324;ERB;software
12270;0214 Entwicklung CRM-System für FA (Projekt beendet);;b000942;;CRMFA;0;3;14241;CRMFA;software
12300;0226 PoC - Bestandsführung Komposit (Projekt beendet);;b000861;;POCBFKOM;59;3;10324;POCBFKOM;software
12301;0232 Sportect Kombiprodukt Unfall/RS (Projekt beendet);;b000861;;STECTURS;0;3;10324;STECTURS;software
12400;HR;;b002182;;PERSONAL;5333;2;10201;PERSONAL;software
12401;0228 bAV-Verwaltungsportal für Arbeitgeber (Projekt beendet);;b000729;;BAVVFA;2;3;10324;BAVVFA;software
12402;0241 Vergleichsrechner - Team (10_EKS) (Projekt beendet);;b000942;;VGREKS;3;3;14247;VGREKS;software
12403;0185 Pflege der gesetzlichen Informationspflichten und Deckungsbeiträge (beendet;;b000188;;PDGIPUDB;0;3;10324;PDGIPUDB;software
12404;0180 Kurzfristige Änderung von Beiträgen und/oder Einstufungskriterien (beendet);;b000424;;KAEBEITESK;49;3;14242;KAEBEITESK;software
12405;0245 Komplexität Abrechnung (26_EKS) (Projekt beendet);;b000308;;EKS26KA;10;3;10324;EKS26KA;software
12406;0249 Claims Rules Engine (15b_EKS) (Projekt beendet);;b000942;;EKS15BCRE;0;3;14249;EKS15BCRE;software
12407;0242 Zielgruppenspezifische Verkaufskonzepte (18_EKS) (Projekt beendet);;b000942;;EKS18ZGSVK;1;3;14248;EKS18ZGSVK;software
12408;0250 Einkommensschutz (EKS) (Projekt beendet);;b002114;;EKS;2;3;10324;EKS;software
12409;0205 NOA Stufe 2 (Projekt beendet);;b000015;;NOAS2;1039;3;10324;NOAS2;software
12411;0243 Makler-CRM Stufe 1 (21_EKS) (Projekt beendet);;b000729;;EKS21MCRM1;483;3;10324;EKS21MCRM1;software
12412;0182 Wirtschaftliches Abwicklungsergebnis (Projekt beendet);;b001411;;WABWERG;0;3;10324;WABWERG;software
12413;0246 Transparenzoffensive Leistungsbearbeitung (33_EKS) (Projekt beendet);;b001411;;EKS33TOLB;3;3;10324;EKS33TOLB;software
12414;0248 Externes Personal für BU-Regulierung (15a_EKS) (Projekt beendet);;b002114;;EKS15AEPBU;0;3;10324;EKS15AEPBU;software
12415;0244 Professionelle Wettbewerbsbetrachtung (24_EKS) (Projekt beendet);;b002114;;EKS24PWB;0;3;10324;EKS24PWB;software
12416;0240 Annahmepolitik (5_EKS) (Projekt beendet);;b002114;;EKS5ANPO;0;3;10324;EKS5ANPO;software
12417;0093 Neue Bestandsführung LV: Konzeption/Implementierung (Projekt beendet);;b000515;;NBLVKI;22082;3;18303;NBLVKI;software
12419;0199 Tax Compliance System (Projekt beendet);;b000904;;TAXCOMSYS;218;3;10324;TAXCOMSYS;software
12420;0112 Solvency II - Berücksichtigung Risikokapitalbed. im SAA-Pr. (Projekt beend ;;b001125;;S2BRKBSAAP;11;3;10324;S2BRKBSAAP;software
12421;0229 Wachstum SHU-Gewerbe (Projekt beendet);;b000052;;WSHUG;19;3;10324;WSHUG;software
12422;0158 Neues Betriebsmodell SHU-Gewerbe (Projekt beendet);;b000861;;NBMSHUG;53;3;10324;NBMSHUG;software
12423;0236 NÜRNBERGER Zielplanungssystem (NZS) (Projekt beendet);;b000287;;NZS;195;3;10324;NZS;software
12424;0113 Unternehmenssteuerung und Fi-Regulierung (Projekt beendet);;b001091;;USFIREG;31;3;10324;USFIREG;software
12425;Architektur (Projekt beendet);;b001591;;ARC;171;3;10324;ARC;software
12426;0266 Anbindung xbaV (Stufe 1) (Projekt beendet);;b000729;;AXBAV1;51;3;10324;AXBAV1;software
12500;0272 Taskforce Dokumente;;b002017;;TFDOK;17;3;10324;TFDOK;software
12501;M-O Web Analytics (Projekt beendet);;b001962;;MOWA;540;3;10324;MOWA;software
12600;0301 EasyBT (EKS) (Projekt beendet);;b000942;;EKSEBT;296;3;14237;EKSEBT;software
12700;OWASP False Positive Approval;;b000990;;OWASP;343;3;10324;OWASP;business
12800;AE-SERV-Traineeprojekt;;b002288;Projekt für die Trainee-Ausbildung;AESERTRAIN;475;2;10324;AESERTRAIN;software
12801;0296 Risikoidentifikation - Neukonzeption und Softwareanschaffung(Proj. beendet);;b001061;;RISKNKSW;3;3;10324;RISKNKSW;software
12900;0306 PoC Neues Standard Provisions System (Projekt beendet);;b000015;;POCNSPS;22;3;10324;POCNSPS;software
12903;0089 AKAB-Neue Prozesswelt;;b002199;;AKABL;37072;3;10324;AKABL;software
12904;0304 Medien- und Dokumenten-Management (Projekt beendet);;b000417;;MUDMAN;43;2;14235;MUDMAN;software
12905;IT-DevOps;;b000990;"Wurde in das Projekt ""Cloud"" migiriert. Besteht aus Revisionsgründen noch im System";DEVOPS;764;3;14702;DEVOPS;software
12906;CD-Pipeline (Projekt beendet);;b000990;;CDPIP;201;3;10324;CDPIP;software
13000;0253 PoC Neue Zahlungsverkehrsinfrastruktur/SAP HANA (Projekt beendet);;b000015;;ZFAZVSYS;37;3;10324;ZFAZVSYS;software
13100;0307 OLG Nürnberg – Umsetzung / Bereinigung Riesterbestand (Projekt beendet);;b000078;;OLGNUBRB;1;3;10324;OLGNUBRB;software
13201;0309 Einführung PARIS (Projekt beendet);;b000182;;PARIS;5799;3;10324;PARIS;software
13203;BO Lean Management;;b002251;;BOLM;56;3;10324;BOLM;software
13302;0239 Neue Produkte Kranken 2019 (Projekt beendet);;b000942;;NPK2019;709;3;10324;NPK2019;software
13303;0265 Umsetzung Vertriebs-Anliegen BT4all (Projekt beendet);;b000942;;VERANBT;347;3;10324;VERANBT;software
13304;0279 Neue Angebots- und Portaltechnologie;;b002024;;TVPATEC;3336;2;10324;TVPATEC;software
13305;0282 Budgetverfahren SHUK (Projekt beendet);;b000942;;BUDGETSHUK;55;3;10324;BUDGETSHUK;software
13306;0290 Neue Produkte Leben 2019/2020 (Projekt beendet);;b000942;;NPL2019;3116;3;10324;NPL2019;software
13307;0294 Neue Produkte SHUK 2019 (Projekt beendet);;b000942;;NPS2019;892;3;10324;NPS2019;software
13308;0258 Fit4GwG (Projekt beendet);;b000942;;GWG2019;7;3;10324;GWG2019;software
13309;0288 DUBI Stufe 2 (Projekt beendet);;b001411;;DUBIS2;95;3;10324;DUBIS2;software
13310;0257 Entwicklung/Implementierung Customer Experience Management SHU(Proj. beend);;b000942;;CEMSHU;83;3;10324;CEMSHU;software
13311;0256 NVC Gewerbe (Projekt beendet);;b000942;;NVC2019;319;3;10324;NVC2019;software
13312;0298 E-Mail Nutzungskonzept (Projekt beendet);;b001792;;EMAILNK;24;3;10324;EMAILNK;software
13313;0308 OPEX Programm (Projekt beendet);;b001284;am 22.05.2019 auf Anforderung von BO-PPM umbenannt von 0308 Optimierung Operations-Geschäftsprozesse mit Lean-Methodik;OOGPLM;4;3;10324;OOGPLM;software
13314;0303 Marketing Management-System (MMS) (Projekt beendet);;b000417;;MMS;31;3;10324;MMS;software
13315;0235 NÜRNBERGER Asset Management (NAM) (Projekt beendet);;b002271;;NIM;23;3;10324;NIM;software
13400;0089 AKAB-ElektrA Kranken (Projekt beendet);;b001802;;AKABELKA;116;2;10324;AKABELKA;software
13401;0260 KOBIS (Projekt beendet);;b000015;;KWBIS;9;3;10324;KWBIS;software
13402;IT Architektur;;b003069;;ITARC;401;3;10324;ITARC;business
13403;0274 BOSS-Auswertungsbestand (Projekt beendet);;b000861;;BAWB;8;3;10324;BAWB;software
13404;0287 Wirtschaftliches Abwicklungsergebnis maschinell ermitteln (Projekt beendet);;b000861;;WAEME;5;3;10324;WAEME;software
13405;ZeBRA;;b001330;;ZEBRA;221;3;10324;ZEBRA;software
13406;0292 Versorgungsausgleich (Projekt beendet);;b000397;;VA;41;3;17306;VA;software
13407;0289 Bestandsmigration Leben (Projekt beendet);;b000674;;BMLVK;25;3;10324;BMLVK;software
13501;0237 Einführung Com:N;;b003069;"Projektname auf Anforderung von BO-PPM von ""0237 Neues Standard-Provisionssystem"" geändert in ""0237 Einführung Com:N""";NSPS;4031;2;10324;NSPS;software
13502;0295 Neuaufbau Produktwelt SHU-Gewerbe (Projekt beendet);;b002006;;NPWSHU;534;3;10324;NPWSHU;software
13503;0238 Auswahl und Implementierung einer neuen CAFM-Software (Projekt beendet);;b000013;;AICAFM;8;3;10324;AICAFM;software
